customer_id,recency,frequency,monetary,r_score,f_score,m_score,segment
C0001,228,4,1577.0494999999999,1,2,3,Hibernating
C0002,4,108,36079.972499999996,5,5,5,Champions
C0003,27,1,614.12,4,1,2,Promising
C0004,1,71,19390.2535,5,5,5,Champions
C0005,95,2,216.86,2,1,1,Hibernating
C0007,15,9,2559.884,4,4,4,Champions
C0008,93,3,702.79,2,2,2,Hibernating
C0009,22,8,1994.1385,4,4,3,Champions
C0010,4,15,4698.2985,5,5,5,Champions
C0011,4,6,1369.0895,5,3,3,Loyal
C0012,30,9,2201.4635,3,4,3,Loyal
C0013,8,19,5647.96,5,5,5,Champions
C0014,149,2,471.1585,1,1,1,Hibernating
C0015,5,95,27611.7725,5,5,5,Champions
C0016,11,23,7810.948,5,5,5,Champions
C0017,9,17,4548.5775,5,5,5,Champions
C0018,47,3,965.035,3,2,2,Regular
C0019,89,16,3158.5155,2,5,4,At Risk
C0020,2,10,2921.3945,5,4,4,Champions
C0022,27,11,2962.7625000000003,4,4,4,Champions
C0023,1,38,11170.2855,5,5,5,Champions
C0024,8,3,837.63,5,2,2,Promising
C0025,8,14,6096.9415,5,4,5,Champions
C0026,38,19,6032.98,3,5,5,Loyal
C0027,9,7,2942.9525,5,3,4,Loyal
C0028,98,8,2053.8215,2,4,3,At Risk
C0029,46,6,1759.437,3,3,3,Loyal
C0030,33,1,485.5,3,1,1,Regular
C0031,12,19,4974.8195,5,5,5,Champions
C0032,23,6,849.7995000000001,4,3,2,Loyal
C0033,6,10,3135.4845,5,4,4,Champions
C0034,23,13,5982.4529999999995,4,4,5,Champions
C0035,24,11,2594.877,4,4,4,Champions
C0036,329,2,627.414,1,1,2,Hibernating
C0037,13,10,2299.719,4,4,4,Champions
C0038,240,5,1479.6680000000001,1,3,3,Regular
C0039,89,1,39.1595,2,1,1,Hibernating
C0040,116,9,2950.218,1,4,4,At Risk
C0042,95,4,1562.5665,2,2,3,Hibernating
C0043,12,11,3753.6775,5,4,4,Champions
C0044,7,8,1648.4254999999998,5,4,3,Champions
C0045,26,6,2206.7200000000003,4,3,3,Loyal
C0046,25,2,264.49,4,1,1,Promising
C0047,48,1,432.84,3,1,1,Regular
C0048,61,6,2601.799,2,3,4,Regular
C0049,75,5,1605.972,2,3,3,Regular
C0050,6,13,5100.509,5,4,5,Champions
C0051,33,3,678.962,3,2,2,Regular
C0053,8,8,2366.0185,5,4,4,Champions
C0054,228,2,784.97,1,1,2,Hibernating
C0055,46,5,3132.326,3,3,4,Loyal
C0056,14,1,33.291000000000004,4,1,1,Promising
C0057,1,62,16247.2205,5,5,5,Champions
C0058,18,8,4075.415,4,4,4,Champions
C0059,51,4,478.09900000000005,3,2,1,Regular
C0060,35,26,7694.5065,3,5,5,Loyal
C0061,98,10,2366.6065,2,4,4,At Risk
C0062,1,6,2424.393,5,3,4,Loyal
C0063,7,30,9823.7405,5,5,5,Champions
C0065,83,7,1639.4325,2,3,3,Regular
C0066,75,14,3654.1854999999996,2,5,4,At Risk
C0067,44,2,554.892,3,1,1,Regular
C0068,27,4,1354.5575,4,2,3,Promising
C0069,2,11,2541.006,5,4,4,Champions
C0070,81,7,2104.614,2,3,3,Regular
C0071,16,14,3115.8230000000003,4,5,4,Champions
C0072,1,2,725.5925,5,1,2,Promising
C0073,174,2,1442.455,1,1,3,Hibernating
C0074,68,6,2682.1730000000002,2,3,4,Regular
C0075,13,22,8562.522,4,5,5,Champions
C0076,431,2,207.41900000000004,1,1,1,Hibernating
C0077,12,4,846.77,4,2,2,Promising
C0078,88,13,3732.455,2,4,4,At Risk
C0079,28,1,281.18,4,1,1,Promising
C0080,18,15,4571.579,4,5,5,Champions
C0081,128,5,1185.0515,1,3,2,Regular
C0082,18,8,2084.7505,4,4,3,Champions
C0084,160,6,3072.704,1,3,4,Regular
C0085,2,8,1960.905,5,4,3,Champions
C0086,35,10,3887.9705,3,4,4,Loyal
C0087,18,11,4592.672,4,4,5,Champions
C0088,66,2,708.082,2,1,2,Hibernating
C0090,337,1,87.533,1,1,1,Hibernating
C0091,6,13,2953.6095,5,4,4,Champions
C0092,240,2,874.7840000000001,1,1,2,Hibernating
C0094,77,17,3852.303,2,5,4,At Risk
C0095,73,1,288.116,2,1,1,Hibernating
C0096,425,1,843.54,1,1,2,Hibernating
C0097,64,5,1313.6325,2,3,3,Regular
C0098,81,3,410.13250000000005,2,2,1,Hibernating
C0099,152,4,1166.3135000000002,1,2,2,Hibernating
C0100,30,4,743.568,3,2,2,Regular
C0101,104,6,2014.817,2,3,3,Regular
C0102,134,4,1959.92,1,2,3,Hibernating
C0103,23,3,1147.0855000000001,4,2,2,Promising
C0104,43,3,801.253,3,2,2,Regular
C0105,50,11,3804.1605,3,4,4,Loyal
C0106,4,6,2075.3534999999997,5,3,3,Loyal
C0107,10,37,10619.5055,5,5,5,Champions
C0108,13,8,2355.209,4,4,4,Champions
C0109,134,14,4658.8735,1,5,5,At Risk
C0110,146,3,1225.814,1,2,2,Hibernating
C0111,14,4,820.5,4,2,2,Promising
C0112,9,5,868.639,5,3,2,Loyal
C0113,22,2,232.92950000000002,4,1,1,Promising
C0114,3,5,2456.719,5,3,4,Loyal
C0115,167,6,1020.4825,1,3,2,Regular
C0116,2,18,5254.285,5,5,5,Champions
C0117,522,1,793.5899999999999,1,1,2,Hibernating
C0118,2,11,2391.37,5,4,4,Champions
C0119,21,12,5091.2080000000005,4,4,5,Champions
C0120,38,1,421.85,3,1,1,Regular
C0121,168,2,409.36,1,1,1,Hibernating
C0123,16,34,10013.6065,4,5,5,Champions
C0124,20,18,4847.888,4,5,5,Champions
C0125,2,71,26744.137,5,5,5,Champions
C0126,60,1,73.08,2,1,1,Hibernating
C0127,67,3,1046.201,2,2,2,Hibernating
C0128,5,3,500.33549999999997,5,2,1,Promising
C0129,91,7,2181.069,2,3,3,Regular
C0130,3,50,15848.098,5,5,5,Champions
C0131,30,9,3224.719,3,4,4,Loyal
C0133,1,30,10955.7075,5,5,5,Champions
C0134,51,2,211.442,3,1,1,Regular
C0135,83,3,1560.402,2,2,3,Hibernating
C0136,62,1,205.84449999999998,2,1,1,Hibernating
C0137,198,1,39.1595,1,1,1,Hibernating
C0138,73,1,169.48,2,1,1,Hibernating
C0139,41,12,3848.466,3,4,4,Loyal
C0140,3,14,3346.0595,5,5,4,Champions
C0141,22,13,3454.5905,4,4,4,Champions
C0142,39,3,1020.33,3,2,2,Regular
C0143,23,30,9213.8555,4,5,5,Champions
C0144,46,26,8393.1485,3,5,5,Loyal
C0145,5,15,6431.201,5,5,5,Champions
C0146,104,5,828.3195000000001,2,3,2,Regular
C0147,51,9,2769.8565,3,4,4,Loyal
C0149,16,6,1187.762,4,3,2,Loyal
C0150,14,3,351.3355,4,2,1,Promising
C0151,54,3,307.69,3,2,1,Regular
C0152,50,3,1445.2395,3,2,3,Regular
C0153,6,24,6793.969,5,5,5,Champions
C0154,203,5,1659.3245000000002,1,3,3,Regular
C0155,93,1,62.7,2,1,1,Hibernating
C0156,36,22,7743.7235,3,5,5,Loyal
C0157,15,4,1842.8100000000002,4,2,3,Promising
C0158,37,3,1439.2530000000002,3,2,3,Regular
