month,orders,customers,net_revenue,profit,returns,aov,profit_margin,revenue_growth
2024-01,24,16,6908.7015,2620.7415,0,287.8625625,0.3793392289419365,
2024-02,61,41,17298.2395,6779.1494999999995,2,283.5776967213115,0.39189823334334106,1.5038336798890501
2024-03,75,48,17405.283,7044.433,10,232.07044,0.4047295869880427,0.006188115270342909
2024-04,141,73,36085.09,14244.1,13,255.92262411347517,0.394736441006521,1.0732262727356976
2024-05,179,93,47640.7315,18717.8015,19,266.1493379888268,0.39289492227884876,0.32023313507046836
2024-06,194,109,52561.6605,20539.8105,9,270.93639432989687,0.39077552544216143,0.10329247358428995
2024-07,229,133,62464.9705,24466.4805,14,272.77279694323147,0.3916832154751438,0.18841318759326486
2024-08,274,155,74222.3605,29917.9805,19,270.88452737226277,0.40308581266423077,0.18822373413271665
2024-09,304,170,83463.2405,34348.150499999996,17,274.5501332236842,0.41153626787351966,0.12450264230009234
2024-10,319,183,91563.9925,37077.7925,20,287.0344592476489,0.4049385734244824,0.09705772207586394
2024-11,376,208,110576.9505,55010.8205,30,294.08763430851064,0.4974890359270669,0.20764666853075475
2024-12,399,219,128381.466,62138.686,32,321.75806015037597,0.48401601832463886,0.16101470893791725
2025-01,473,237,131058.928,52683.368,28,277.08018604651164,0.4019822899818012,0.020855518194503153
2025-02,469,259,127938.70449999999,51963.5145,36,272.7904147121535,0.40615945505372847,-0.023807790492533343
2025-03,528,286,145685.1885,58773.7785,41,275.9189176136363,0.40343001992958266,0.13871083085728753
2025-04,545,307,148603.8075,59343.2275,45,272.66753669724767,0.399338539828463,0.020033738707761595
2025-05,626,338,182817.874,74199.424,38,292.04133226837064,0.40586526019879215,0.23023680937650282
2025-06,610,331,170268.125,68368.395,47,279.1280737704918,0.40153372805391496,-0.06864618171853376
2025-07,699,358,188382.412,75417.942,61,269.5027353361946,0.4003449217966271,0.10638683546905803
2025-08,688,380,179145.662,70900.082,44,260.386136627907,0.39576778588141304,-0.04903191280935504
2025-09,687,383,187222.7775,73826.5075,49,272.52223799126637,0.3943243898301851,0.04508686065755807
2025-10,725,406,205616.461,82291.55099999999,51,283.60891172413795,0.4002186916348103,0.09824490238640982
2025-11,712,412,238268.154,118050.344,41,334.64628370786517,0.49545162464304815,0.15879902241873523
2025-12,746,410,238049.37099999998,117688.641,50,319.1010335120643,0.4943875319040436,-0.0009182217443965968
